"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2619",493137,"Daisuke Matsuzaka","2619","100.00","0.240","0.135","0.286","0.375","0.314","null","null","137","571","null","null","null","89.5","null","238","1198","1400","null","null","null","null","null","null","null","null","null"
"2611",285079,"R.A. Dickey","2611","100.00","0.251","0.110","0.280","0.361","0.290","null","null","165","657","null","null","null","77.6","null","237","1244","1340","null","null","null","null","null","null","null","null","null"
"2610",448269,"Brad Bergesen","2610","100.00","0.285","0.205","0.290","0.490","0.354","null","null","193","678","null","null","null","87.7","null","155","1163","1412","null","null","null","null","null","null","null","null","null"
"2609",448802,"Jaime Garcia","2609","100.00","0.243","0.080","0.293","0.323","0.289","null","null","151","622","null","null","null","86.8","null","276","1152","1405","null","null","null","null","null","null","null","null","null"
"2591",519144,"Rick Porcello","2591","100.00","0.288","0.130","0.308","0.419","0.331","null","null","188","652","null","null","null","88.4","null","166","1132","1431","null","null","null","null","null","null","null","null","null"
"2579",458713,"Kevin Slowey","2579","100.00","0.280","0.179","0.309","0.459","0.328","null","null","172","615","null","null","null","87.0","null","180","1217","1349","null","null","null","null","null","null","null","null","null"
"2523",453344,"Brandon Morrow","2523","100.00","0.248","0.141","0.344","0.389","0.322","null","null","136","548","null","null","null","90.6","null","298","1115","1388","null","null","null","null","null","null","null","null","null"
"2520",429781,"Kevin Correia","2520","100.00","0.271","0.164","0.306","0.435","0.341","null","null","152","561","null","null","null","87.7","null","209","1056","1418","null","null","null","null","null","null","null","null","null"
"2476",445060,"Ricky Nolasco","2476","100.00","0.273","0.184","0.319","0.456","0.327","null","null","169","620","null","null","null","86.9","null","275","1187","1269","null","null","null","null","null","null","null","null","null"
"2471",150119,"Freddy Garcia","2471","100.00","0.279","0.196","0.293","0.475","0.344","null","null","171","613","null","null","null","82.5","null","196","1072","1359","null","null","null","null","null","null","null","null","null"
"2414",136600,"Bruce Chen","2414","100.00","0.254","0.155","0.279","0.409","0.320","null","null","136","535","null","null","null","83.2","null","190","1084","1303","null","null","null","null","null","null","null","null","null"
"2412",453281,"Wade LeBlanc","2412","100.00","0.279","0.199","0.309","0.478","0.350","null","null","157","563","null","null","null","82.5","null","219","1024","1360","null","null","null","null","null","null","null","null","null"
"2410",444857,"Scott Feldman","2410","100.00","0.311","0.168","0.330","0.479","0.362","null","null","180","578","null","null","null","86.4","null","153","1096","1290","null","null","null","null","null","null","null","null","null"
"2380",448147,"Nick Blackburn","2380","100.00","0.302","0.193","0.306","0.495","0.361","null","null","194","643","null","null","null","88.7","null","107","1068","1289","null","null","null","null","null","null","null","null","null"
"2355",458709,"John Lannan","2355","100.00","0.302","0.140","0.322","0.441","0.348","null","null","175","580","null","null","null","86.2","null","142","1031","1299","null","null","null","null","null","null","null","null","null"
"2325",452733,"Tom Gorzelanny","2325","100.00","0.260","0.139","0.313","0.399","0.327","null","null","136","524","null","null","null","86.7","null","255","1050","1247","null","null","null","null","null","null","null","null","null"
"2323",451482,"Armando Galarraga","2323","100.00","0.258","0.186","0.262","0.444","0.331","null","null","143","554","null","null","null","89.1","null","176","1059","1236","null","null","null","null","null","null","null","null","null"
"2306",334492,"Joel Pineiro","2306","100.00","0.261","0.155","0.286","0.416","0.311","null","null","155","594","null","null","null","86.0","null","139","1011","1257","null","null","null","null","null","null","null","null","null"
"2304",468504,"Jhoulys Chacin","2304","100.00","0.227","0.104","0.290","0.331","0.292","null","null","114","502","null","null","null","87.5","null","263","952","1315","null","null","null","null","null","null","null","null","null"
"2284",407296,"Carlos Zambrano","2284","100.00","0.246","0.087","0.309","0.333","0.306","null","null","119","484","null","null","null","87.9","null","205","974","1295","null","null","null","null","null","null","null","null","null"
"2173",277417,"Josh Beckett","2173","100.00","0.292","0.201","0.341","0.492","0.365","null","null","151","518","null","null","null","89.7","null","199","976","1168","null","null","null","null","null","null","null","null","null"
"2166",446454,"Brian Bannister","2166","100.00","0.302","0.201","0.318","0.503","0.374","null","null","158","523","null","null","null","86.9","null","163","913","1236","null","null","null","null","null","null","null","null","null"
"2160",448159,"Manny Parra","2160","100.00","0.281","0.173","0.343","0.453","0.353","null","null","135","481","null","null","null","88.6","null","258","943","1195","null","null","null","null","null","null","null","null","null"
"2157",123801,"Tim Wakefield","2157","100.00","0.272","0.181","0.289","0.454","0.333","null","null","153","562","null","null","null","67.0","null","196","1028","1108","null","null","null","null","null","null","null","null","null"
"2131",502190,"Mike Leake","2131","100.00","0.292","0.161","0.320","0.452","0.348","null","null","158","542","null","null","null","86.1","null","177","910","1199","null","null","null","null","null","null","null","null","null"
"2090",489334,"Craig Stammen","2090","100.00","0.297","0.171","0.331","0.468","0.349","null","null","151","509","null","null","null","87.7","null","226","950","1113","null","null","null","null","null","null","null","null","null"
"2074",476570,"Vin Mazzaro","2074","100.00","0.267","0.158","0.283","0.425","0.334","null","null","127","475","null","null","null","89.0","null","166","896","1168","null","null","null","null","null","null","null","null","null"
"2070",538227,"Hisanori Takahashi","2070","100.00","0.252","0.146","0.307","0.398","0.307","null","null","116","460","null","null","null","83.4","null","247","935","1095","null","null","null","null","null","null","null","null","null"
"2061",421685,"Aaron Harang","2061","100.00","0.305","0.174","0.342","0.479","0.363","null","null","139","455","null","null","null","87.6","null","181","924","1127","null","null","null","null","null","null","null","null","null"
"2026",407822,"Jorge De La Rosa","2026","100.00","0.235","0.177","0.280","0.413","0.322","null","null","105","446","null","null","null","89.7","null","235","916","1075","null","null","null","null","null","null","null","null","null"
"2000",120485,"Andy Pettitte","2000","100.00","0.257","0.129","0.297","0.386","0.305","null","null","123","479","null","null","null","85.5","null","159","854","1123","null","null","null","null","null","null","null","null","null"
"1969",346871,"Aaron Cook","1969","100.00","0.290","0.112","0.309","0.402","0.336","null","null","147","507","null","null","null","88.5","null","128","870","1073","null","null","null","null","null","null","null","null","null"
"1951",282656,"Ben Sheets","1951","100.00","0.267","0.219","0.290","0.486","0.346","null","null","123","461","null","null","null","87.0","null","143","846","1092","null","null","null","null","null","null","null","null","null"
"1934",456701,"Homer Bailey","1934","100.00","0.260","0.155","0.317","0.415","0.326","null","null","109","419","null","null","null","90.0","null","173","903","998","null","null","null","null","null","null","null","null","null"
"1905",488984,"Tommy Hunter","1905","100.00","0.255","0.182","0.257","0.436","0.319","null","null","126","495","null","null","null","87.6","null","126","872","1017","null","null","null","null","null","null","null","null","null"
"1885",488846,"Brian Duensing","1885","100.00","0.247","0.118","0.275","0.365","0.294","null","null","122","493","null","null","null","87.7","null","159","852","1003","null","null","null","null","null","null","null","null","null"
"1826",457453,"Jair Jurrjens","1826","100.00","0.270","0.189","0.306","0.458","0.338","null","null","120","445","null","null","null","88.2","null","181","853","938","null","null","null","null","null","null","null","null","null"
"1818",434884,"Ryan Rowland-Smith","1818","100.00","0.314","0.261","0.304","0.575","0.402","null","null","141","449","null","null","null","84.0","null","109","834","962","null","null","null","null","null","null","null","null","null"
"1801",474463,"Brett Anderson","1801","100.00","0.257","0.096","0.297","0.353","0.290","null","null","112","436","null","null","null","88.0","null","133","758","1017","null","null","null","null","null","null","null","null","null"
"1790",444371,"Jeff Karstens","1790","100.00","0.300","0.204","0.311","0.504","0.356","null","null","146","486","null","null","null","83.9","null","145","845","912","null","null","null","null","null","null","null","null","null"
"1772",456027,"Ross Ohlendorf","1772","100.00","0.262","0.181","0.291","0.443","0.332","null","null","107","409","null","null","null","87.9","null","161","815","935","null","null","null","null","null","null","null","null","null"
"1770",425848,"Rich Harden","1770","100.00","0.256","0.208","0.274","0.465","0.368","null","null","91","355","null","null","null","88.1","null","154","778","977","null","null","null","null","null","null","null","null","null"
"1747",119469,"Jamie Moyer","1747","100.00","0.240","0.193","0.239","0.433","0.306","null","null","103","430","null","null","null","78.8","null","116","736","1000","null","null","null","null","null","null","null","null","null"
"1741",400067,"Carlos Silva","1741","100.00","0.273","0.144","0.308","0.417","0.317","null","null","120","439","null","null","null","86.6","null","140","817","890","null","null","null","null","null","null","null","null","null"
"1720",518516,"Madison Bumgarner","1720","100.00","0.272","0.142","0.314","0.414","0.320","null","null","119","437","null","null","null","87.6","null","141","804","893","null","null","null","null","null","null","null","null","null"
"1718",453562,"Jake Arrieta","1718","100.00","0.271","0.141","0.292","0.412","0.337","null","null","106","391","null","null","null","88.9","null","111","736","958","null","null","null","null","null","null","null","null","null"
"1711",408241,"Jake Peavy","1711","100.00","0.242","0.151","0.280","0.393","0.305","null","null","98","405","null","null","null","88.3","null","162","797","898","null","null","null","null","null","null","null","null","null"
"1684",425146,"Nate Robertson","1684","100.00","0.290","0.176","0.314","0.466","0.353","null","null","115","397","null","null","null","85.6","null","117","711","952","null","null","null","null","null","null","null","null","null"
"1659",433585,"Jeff Francis","1659","100.00","0.293","0.153","0.325","0.446","0.333","null","null","119","406","null","null","null","83.7","null","145","745","891","null","null","null","null","null","null","null","null","null"
"1642",460024,"Luke Hochevar","1642","100.00","0.272","0.146","0.314","0.417","0.331","null","null","110","405","null","null","null","90.0","null","169","743","878","null","null","null","null","null","null","null","null","null"
"1635",462956,"Felipe Paulino","1635","100.00","0.270","0.122","0.340","0.392","0.329","null","null","95","352","null","null","null","91.1","null","161","705","906","null","null","null","null","null","null","null","null","null"
"1633",518655,"John Ely","1633","100.00","0.276","0.182","0.314","0.458","0.346","null","null","105","380","null","null","null","84.2","null","147","691","930","null","null","null","null","null","null","null","null","null"
"1626",430963,"Ramon Pena","1626","100.00","0.278","0.137","0.299","0.415","0.335","null","null","108","388","null","null","null","89.6","null","126","725","867","null","null","null","null","null","null","null","null","null"
"1617",346798,"Kyle Lohse","1617","100.00","0.336","0.177","0.369","0.513","0.387","null","null","129","384","null","null","null","86.3","null","96","646","956","null","null","null","null","null","null","null","null","null"
"1613",475243,"Travis Wood","1613","100.00","0.222","0.117","0.261","0.339","0.271","null","null","85","383","null","null","null","87.5","null","140","748","844","null","null","null","null","null","null","null","null","null"
